"Naziv";"Woolf d.o.o."
"Adresa sjedišta";"Ograda 14, Vratišinec"
"OIB";"45374311169"
"Oblik prodajnog objekta";"Webshop"
"Oznaka prodajnog prostora";"160"
"Broj skladišta";"02"
"Datum cjenika";"20. 09. 2026."

"Naziv proizvoda";"Šifra";"Marka";"Jedinica mjere";"Cijena za jedinicu mjere (EUR)";"Maloprodajna cijena (EUR)";"Poseban oblik prodaje";"Naziv posebnog oblika prodaje";"Sidrena cijena – cijena na dan 10. 09. 2026. (EUR)";"Barkod";"Dostupnost";"Varijante i dostupnost";"Barkodovi varijanti";"Kategorija";"Poveznica"
"CLASS LIFE ANATOMSKE KLOMPE";"203399_GREY";"CLASS LIFE";"kom";"26,99";"26,99";"NE";"";"26,99";"Nije dodijeljen";"Dostupno";"Veličina 37, siva]]><![CDATA[sareno: Dostupno | Veličina 38, siva]]><![CDATA[sareno: Dostupno | Veličina 39, siva]]><![CDATA[sareno: Dostupno | Veličina 40, siva]]><![CDATA[sareno: Dostupno | Veličina 41, siva]]><![CDATA[sareno: Dostupno | Veličina 42, siva]]><![CDATA[sareno: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-10584/"
"COMER NATIKAČE";"BG166_RED";"COMER";"kom";"16,19";"16,19";"DA";"Akcija";"16,19";"Nije dodijeljen";"Dostupno";"Veličina 36, crvena: Nedostupno | Veličina 37, crvena: Nedostupno | Veličina 38, crvena: Nedostupno | Veličina 39, crvena: Dostupno | Veličina 40, crvena: Nedostupno | Veličina 41, crvena: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Natikače";"https://woolf.hr/natikace-proizvod-12788/"
"COMER NATIKAČE";"SAR35_GREEN";"COMER";"kom";"16,99";"16,99";"DA";"Akcija";"16,99";"Nije dodijeljen";"Dostupno";"Veličina 36, zelena: Dostupno | Veličina 37, zelena: Nedostupno | Veličina 38, zelena: Nedostupno | Veličina 39, zelena: Nedostupno | Veličina 40, zelena: Nedostupno | Veličina 41, zelena: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Natikače";"https://woolf.hr/natikace-proizvod-10226/"
"COMER NATIKAČE";"SAR37_BLACK";"COMER";"kom";"15,99";"15,99";"DA";"Akcija";"15,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Dostupno | Veličina 38, crna: Dostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Dostupno | Veličina 41, crna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Natikače";"https://woolf.hr/natikace-proizvod-10632/"
"COMER NATIKAČE";"SAR37_GOLD";"COMER";"kom";"15,99";"15,99";"DA";"Akcija";"15,99";"Nije dodijeljen";"Dostupno";"Veličina 36, zlatna: Nedostupno | Veličina 37, zlatna: Nedostupno | Veličina 38, zlatna: Dostupno | Veličina 39, zlatna: Nedostupno | Veličina 40, zlatna: Nedostupno | Veličina 41, zlatna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Natikače";"https://woolf.hr/natikace-proizvod-11685/"
"COMER NATIKAČE";"SAR37_PINK";"COMER";"kom";"15,99";"15,99";"DA";"Akcija";"15,99";"Nije dodijeljen";"Dostupno";"Veličina 36, pink: Dostupno | Veličina 37, pink: Dostupno | Veličina 38, pink: Dostupno | Veličina 39, pink: Nedostupno | Veličina 40, pink: Nedostupno | Veličina 41, pink: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Natikače";"https://woolf.hr/natikace-proizvod-10611/"
"COMER NATIKAČE";"SAR37_RED";"COMER";"kom";"15,99";"15,99";"DA";"Akcija";"15,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crvena: Nedostupno | Veličina 37, crvena: Dostupno | Veličina 38, crvena: Nedostupno | Veličina 39, crvena: Nedostupno | Veličina 40, crvena: Nedostupno | Veličina 41, crvena: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Natikače";"https://woolf.hr/natikace-proizvod-11561/"
"COMER NATIKAČE";"SAR60_GOLD";"COMER";"kom";"16,99";"16,99";"DA";"Akcija";"16,99";"Nije dodijeljen";"Dostupno";"Veličina 36, zlatna: Nedostupno | Veličina 37, zlatna: Nedostupno | Veličina 38, zlatna: Dostupno | Veličina 39, zlatna: Nedostupno | Veličina 40, zlatna: Nedostupno | Veličina 41, zlatna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Natikače";"https://woolf.hr/natikace-proizvod-12827/"
"COMER NATIKAČE";"SAR60_WHITE";"COMER";"kom";"14,99";"14,99";"DA";"Akcija";"14,99";"Nije dodijeljen";"Dostupno";"Veličina 36, bijela: Nedostupno | Veličina 37, bijela: Dostupno | Veličina 38, bijela: Dostupno | Veličina 39, bijela: Nedostupno | Veličina 40, bijela: Nedostupno | Veličina 41, bijela: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Natikače";"https://woolf.hr/natikace-proizvod-11656/"
"COMFORT STEP ANATOMSKE KLOMPE";"812_WHITE";"COMFORT STEP";"kom";"33,99";"33,99";"DA";"Akcija";"33,99";"Nije dodijeljen";"Dostupno";"Veličina 36, bijela: Dostupno | Veličina 37, bijela: Nedostupno | Veličina 38, bijela: Nedostupno | Veličina 39, bijela: Nedostupno | Veličina 40, bijela: Nedostupno | Veličina 41, bijela: Nedostupno | Veličina 42, bijela: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-10931/"
"Conway GUMENE VRTNE KLOMPE";"SAN_CRNE";"Conway";"kom";"6,99";"6,99";"DA";"Akcija";"6,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Nedostupno | Veličina 37, crna: Dostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Dostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Nedostupno | Veličina 42, crna: Dostupno | Veličina 43, crna: Dostupno | Veličina 44, crna: Dostupno | Veličina 45, crna: Dostupno | Veličina 46, crna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Gumene klompe";"https://woolf.hr/vrtne-klompe-proizvod-478/"
"Conway GUMENE VRTNE KLOMPE";"SAN_NERO";"Conway";"kom";"7,99";"7,99";"DA";"Akcija";"7,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Nedostupno | Veličina 37, crna: Dostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Nedostupno | Veličina 42, crna: Nedostupno | Veličina 43, crna: Nedostupno | Veličina 44, crna: Nedostupno | Veličina 45, crna: Nedostupno | Veličina 46, crna: Nedostupno";"Nije dodijeljen";"Muško - Obuća - Gumene klompe";"https://woolf.hr/vrtne-klompe-proizvod-3729/"
"Conway KOŽNE GLEŽNJAČE";"ERZBERG_GREY";"Conway";"kom";"39,99";"39,99";"DA";"Akcija";"39,99";"Nije dodijeljen";"Dostupno";"Veličina 36, plava: Dostupno | Veličina 37, plava: Nedostupno | Veličina 38, plava: Nedostupno | Veličina 39, plava: Nedostupno | Veličina 40, plava: Nedostupno | Veličina 41, plava: Nedostupno | Veličina 42, plava: Nedostupno | Veličina 43, plava: Nedostupno | Veličina 44, plava: Nedostupno | Veličina 45, plava: Nedostupno | Veličina 46, plava: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Gležnjače";"https://woolf.hr/kozne-gleznjace-proizvod-7350/"
"Conway KOŽNE GLEŽNJAČE";"SCHMITTENHOHE_GREEN";"Conway";"kom";"39,99";"39,99";"DA";"Akcija";"39,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Nedostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Nedostupno | Veličina 42, crna: Nedostupno | Veličina 43, crna: Nedostupno | Veličina 44, crna: Nedostupno | Veličina 45, crna: Nedostupno | Veličina 46, crna: Nedostupno";"Nije dodijeljen";"Muško - Obuća - Gležnjače";"https://woolf.hr/kozne-gleznjace-proizvod-1835/"
"Conway ŠKOLSKE PAPUČE";"AB7788_NAVY";"Conway";"kom";"6,49";"6,49";"NE";"";"6,49";"Nije dodijeljen";"Dostupno";"Veličina 36, plava: Nedostupno | Veličina 37, plava: Nedostupno | Veličina 38, plava: Nedostupno | Veličina 39, plava: Nedostupno | Veličina 40, plava: Nedostupno | Veličina 41, plava: Nedostupno | Veličina 42, plava: Nedostupno | Veličina 43, plava: Dostupno | Veličina 44, plava: Nedostupno | Veličina 45, plava: Dostupno";"Nije dodijeljen";"Sve papuče za razred";"https://woolf.hr/skolske-papuce-proizvod-3017/"
"Conway TENISICE";"712_PINK";"Conway";"kom";"17,09";"17,09";"DA";"Akcija";"17,09";"Nije dodijeljen";"Dostupno";"Veličina 26, pink: Nedostupno | Veličina 27, pink: Nedostupno | Veličina 28, pink: Nedostupno | Veličina 29, pink: Nedostupno | Veličina 30, pink: Nedostupno | Veličina 31, pink: Dostupno | Veličina 32, pink: Nedostupno | Veličina 33, pink: Nedostupno | Veličina 34, pink: Nedostupno | Veličina 35, pink: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Tenisice";"https://woolf.hr/tenisice-proizvod-8830/"
"Conway TENISICE";"A8358_RED";"Conway";"kom";"11,99";"11,99";"DA";"Akcija";"11,99";"Nije dodijeljen";"Dostupno";"Veličina 31, crvena: Dostupno | Veličina 32, crvena: Nedostupno | Veličina 33, crvena: Dostupno | Veličina 34, crvena: Dostupno | Veličina 35, crvena: Nedostupno | Veličina 36, crvena: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Tenisice";"https://woolf.hr/tenisice-proizvod-4640/"
"Conway TENISICE";"A8369_PINK";"Conway";"kom";"9,99";"9,99";"DA";"Akcija";"9,99";"Nije dodijeljen";"Dostupno";"Veličina 31, pink: Dostupno | Veličina 32, pink: Nedostupno | Veličina 33, pink: Nedostupno | Veličina 34, pink: Nedostupno | Veličina 35, pink: Nedostupno | Veličina 36, pink: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Tenisice";"https://woolf.hr/tenisice-proizvod-4634/"
"Conway TENISICE";"N27_BLACK";"Conway";"kom";"12,00";"12,00";"DA";"Akcija";"12,00";"Nije dodijeljen";"Dostupno";"Veličina 31, crna: Nedostupno | Veličina 32, crna: Dostupno | Veličina 33, crna: Nedostupno | Veličina 34, crna: Nedostupno | Veličina 35, crna: Nedostupno | Veličina 36, crna: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Tenisice";"https://woolf.hr/tenisice-proizvod-7841/"
"Conway TREKKING TENISICE";"ORTLER_GREY";"Conway";"kom";"25,00";"25,00";"DA";"Akcija";"25,00";"Nije dodijeljen";"Dostupno";"Veličina 36, siva: Dostupno | Veličina 37, siva: Nedostupno | Veličina 38, siva: Nedostupno | Veličina 39, siva: Nedostupno | Veličina 40, siva: Nedostupno | Veličina 41, siva: Nedostupno | Veličina 42, siva: Nedostupno | Veličina 43, siva: Nedostupno | Veličina 44, siva: Nedostupno | Veličina 45, siva: Nedostupno | Veličina 46, siva: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Tenisice";"https://woolf.hr/trekking-tenisice-proizvod-7248/"
"Conway TREKKING TENISICE";"UNTERSBERG_GREY";"Conway";"kom";"39,69";"39,69";"DA";"Akcija";"39,69";"Nije dodijeljen";"Dostupno";"Veličina 36, siva: Dostupno | Veličina 37, siva: Nedostupno | Veličina 38, siva: Nedostupno | Veličina 39, siva: Nedostupno | Veličina 40, siva: Nedostupno | Veličina 41, siva: Nedostupno | Veličina 42, siva: Nedostupno | Veličina 43, siva: Nedostupno | Veličina 44, siva: Nedostupno | Veličina 45, siva: Nedostupno | Veličina 46, siva: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Tenisice";"https://woolf.hr/trekking-tenisice-proizvod-3255/"
"Conway ZIMSKE BUCE";"ASPEN_BLACK_1";"Conway";"kom";"11,99";"11,99";"DA";"Akcija";"11,99";"Nije dodijeljen";"Dostupno";"Veličina 29, crna: Nedostupno | Veličina 30, crna: Nedostupno | Veličina 31, crna: Dostupno | Veličina 32, crna: Dostupno | Veličina 33, crna: Nedostupno | Veličina 34, crna: Nedostupno | Veličina 35, crna: Nedostupno | Veličina 36, crna: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Buce";"https://woolf.hr/zimske-buce-proizvod-7360/"
"Conway ZIMSKE BUCE";"ASPEN_NAVY_1";"Conway";"kom";"11,99";"11,99";"DA";"Akcija";"11,99";"Nije dodijeljen";"Dostupno";"Veličina 24, plava: Nedostupno | Veličina 25, plava: Dostupno | Veličina 26, plava: Nedostupno | Veličina 27, plava: Nedostupno | Veličina 28, plava: Nedostupno | Veličina 29, plava: Nedostupno | Veličina 30, plava: Nedostupno | Veličina 31, plava: Dostupno | Veličina 32, plava: Nedostupno | Veličina 33, plava: Nedostupno | Veličina 34, plava: Nedostupno | Veličina 35, plava: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Buce";"https://woolf.hr/zimske-buce-proizvod-7361/"
"CORINA ŽENSKE CIPELE";"C8051_BLACK";"CORINA";"kom";"15,99";"15,99";"DA";"Akcija";"15,99";"Nije dodijeljen";"Dostupno";"Veličina 35, crna: Nedostupno | Veličina 36, crna: Dostupno | Veličina 37, crna: Dostupno | Veličina 38, crna: Dostupno | Veličina 39, crna: Dostupno | Veličina 40, crna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Cipele";"https://woolf.hr/zenske-cipele-proizvod-9944/"
"CRIJEVO ZA SUP PUMPU";"6502157_CV";"";"kom";"7,99";"7,99";"DA";"Akcija";"7,99";"Nije dodijeljen";"Dostupno";"6502157_CV-XY, crna: Dostupno";"Nije dodijeljen";"Fitnes - SPRAVE I DODACI - Pribor";"https://woolf.hr/crijevo-za-sup-pumpu-proizvod-12679/"
"CSCK.S GUMENE ČIZME";"HJ52_NAVY";"CSCK.S";"kom";"17,99";"17,99";"DA";"Akcija";"17,99";"Nije dodijeljen";"Dostupno";"Veličina 18, pink]]><![CDATA[plava: Dostupno | Veličina 19, pink]]><![CDATA[plava: Nedostupno | Veličina 20, pink]]><![CDATA[plava: Nedostupno | Veličina 21, pink]]><![CDATA[plava: Nedostupno | Veličina 22, pink]]><![CDATA[plava: Nedostupno | Veličina 23, pink]]><![CDATA[plava: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Čizme - Gumene čizme";"https://woolf.hr/gumene-cizme-proizvod-10843/"
"CSCK.S GUMENE ČIZME";"HJ53_NAVY";"CSCK.S";"kom";"17,99";"17,99";"DA";"Akcija";"17,99";"Nije dodijeljen";"Dostupno";"Veličina 18, plava: Dostupno | Veličina 19]]><![CDATA[sareno, plava: Dostupno | Veličina 20, plava: Dostupno | Veličina 21, plava: Nedostupno | Veličina 22, plava: Dostupno | Veličina 23, plava: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Čizme - Gumene čizme";"https://woolf.hr/gumene-cizme-proizvod-10842/"
"CSCK.S GUMENE ČIZME";"HJ61_BLACK";"CSCK.S";"kom";"17,99";"17,99";"DA";"Akcija";"17,99";"Nije dodijeljen";"Dostupno";"Veličina 31, crna]]><![CDATA[narancasta: Nedostupno | Veličina 32, crna]]><![CDATA[narancasta: Dostupno | Veličina 33, crna]]><![CDATA[narancasta: Nedostupno | Veličina 34, crna]]><![CDATA[narancasta: Nedostupno | Veličina 35, crna]]><![CDATA[narancasta: Nedostupno | Veličina 36, crna]]><![CDATA[narancasta: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Čizme - Gumene čizme";"https://woolf.hr/gumene-cizme-proizvod-10837/"
"CSCK.S GUMENE ČIZME";"HJ73_PINK";"CSCK.S";"kom";"18,99";"18,99";"DA";"Akcija";"18,99";"Nije dodijeljen";"Dostupno";"Veličina 20, pink: Dostupno | Veličina 21, pink: Nedostupno | Veličina 22, pink: Nedostupno | Veličina 23, pink: Nedostupno | Veličina 24, pink: Nedostupno | Veličina 25, pink: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Čizme - Gumene čizme";"https://woolf.hr/gumene-cizme-proizvod-11972/"
"CSCK.S GUMENE ČIZME";"HJ79_BLACK";"CSCK.S";"kom";"19,99";"19,99";"DA";"Akcija";"19,99";"Nije dodijeljen";"Dostupno";"Veličina 31, crna: Dostupno | Veličina 32, crna: Nedostupno | Veličina 33, crna: Nedostupno | Veličina 34, crna: Dostupno | Veličina 35, crna: Nedostupno | Veličina 36, crna: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Čizme - Gumene čizme";"https://woolf.hr/gumene-cizme-proizvod-11973/"
"CSCK.S GUMENE ČIZME";"HJ81_BLACK";"CSCK.S";"kom";"19,99";"19,99";"DA";"Akcija";"19,99";"Nije dodijeljen";"Dostupno";"Veličina 31, crna: Nedostupno | Veličina 32, crna: Dostupno | Veličina 33, crna: Dostupno | Veličina 34, crna: Nedostupno | Veličina 35, crna: Nedostupno | Veličina 36, crna: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Čizme - Gumene čizme";"https://woolf.hr/gumene-cizme-proizvod-11974/"
"CSCK.S GUMENE ČIZME";"X2211_BLUE";"CSCK.S";"kom";"17,99";"17,99";"DA";"Akcija";"17,99";"Nije dodijeljen";"Dostupno";"Veličina 29, plava: Nedostupno | Veličina 30, plava: Nedostupno | Veličina 31, plava: Nedostupno | Veličina 32, plava: Dostupno | Veličina 33, plava: Dostupno | Veličina 34, plava: Nedostupno | Veličina 35, plava: Nedostupno | Veličina 36, plava: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Čizme - Gumene čizme";"https://woolf.hr/gumene-cizme-proizvod-9469/"
"CSCK.S TENISICE";"X77182A_BLACK";"CSCK.S";"kom";"16,99";"16,99";"DA";"Akcija";"16,99";"Nije dodijeljen";"Dostupno";"Veličina 31, crna]]><![CDATA[zelena: Dostupno | Veličina 32, crna]]><![CDATA[zelena: Nedostupno | Veličina 33, crna]]><![CDATA[zelena: Nedostupno | Veličina 34, crna]]><![CDATA[zelena: Nedostupno | Veličina 35, crna]]><![CDATA[zelena: Nedostupno | Veličina 36, crna]]><![CDATA[zelena: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Tenisice";"https://woolf.hr/tenisice-proizvod-9476/"
"D.T. NEW YORK SVJETLEĆE TENISICE";"B893695_NAVY";"D.T. NEW YORK";"kom";"19,99";"19,99";"DA";"Akcija";"19,99";"Nije dodijeljen";"Dostupno";"Veličina 22, ljubicasta]]><![CDATA[plava: Dostupno | Veličina 23, ljubicasta]]><![CDATA[plava: Nedostupno | Veličina 24, ljubicasta]]><![CDATA[plava: Nedostupno | Veličina 25, ljubicasta]]><![CDATA[plava: Nedostupno | Veličina 26, ljubicasta]]><![CDATA[plava: Nedostupno | Veličina 27, ljubicasta]]><![CDATA[plava: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Tenisice";"https://woolf.hr/svjetlece-tenisice-proizvod-9322/"
"D.T. NEW YORK TENISICE";"B186870_BROWN";"D.T. NEW YORK";"kom";"21,99";"21,99";"DA";"Akcija";"21,99";"Nije dodijeljen";"Dostupno";"Veličina 28, smeda: Nedostupno | Veličina 29, smeda: Dostupno | Veličina 30, smeda: Nedostupno | Veličina 31, smeda: Dostupno | Veličina 32, smeda: Dostupno | Veličina 33, smeda: Dostupno | Veličina 34, smeda: Nedostupno | Veličina 35, smeda: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Tenisice";"https://woolf.hr/tenisice-proizvod-9306/"
"D.T. NEW YORK TENISICE";"B851340_BLACK";"D.T. NEW YORK";"kom";"32,49";"32,49";"DA";"Akcija";"32,49";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Nedostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Tenisice";"https://woolf.hr/tenisice-proizvod-9314/"
"DISNEY SANDALE LITTLE MERMAID";"WLFP203_PURPLE";"DISNEY";"kom";"4,99";"4,99";"DA";"Akcija";"4,99";"Nije dodijeljen";"Dostupno";"Veličina 23, ljubicasta: Nedostupno | Veličina 24, ljubicasta: Dostupno | Veličina 25, ljubicasta: Nedostupno | Veličina 26, ljubicasta: Nedostupno | Veličina 27, ljubicasta: Nedostupno | Veličina 28, ljubicasta: Nedostupno | Veličina 29, ljubicasta: Nedostupno | Veličina 30, ljubicasta: Nedostupno | Veličina 31, ljubicasta: Nedostupno | Veličina 32, ljubicasta: Nedostupno | Veličina 33, ljubicasta: Nedostupno | Veličina 34, ljubicasta: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Sandale";"https://woolf.hr/sandale-little-mermaid-proizvod-9212/"
"DISNEY SANDALE MERMAID";"WLFP0139_GREEN";"DISNEY";"kom";"4,99";"4,99";"DA";"Akcija";"4,99";"Nije dodijeljen";"Dostupno";"Veličina 23, zelena]]><![CDATA[sareno: Nedostupno | Veličina 24, zelena]]><![CDATA[sareno: Dostupno | Veličina 25, zelena]]><![CDATA[sareno: Nedostupno | Veličina 26, zelena]]><![CDATA[sareno: Dostupno | Veličina 27, zelena]]><![CDATA[sareno: Nedostupno | Veličina 28, zelena]]><![CDATA[sareno: Nedostupno | Veličina 29, zelena]]><![CDATA[sareno: Nedostupno | Veličina 30, zelena]]><![CDATA[sareno: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Sandale";"https://woolf.hr/sandale-mermaid-proizvod-9650/"
"DISNEY SANDALE MINNIE MOUSE";"WLFP203_GREEN";"DISNEY";"kom";"4,99";"4,99";"DA";"Akcija";"4,99";"Nije dodijeljen";"Dostupno";"Veličina 23, zelena]]><![CDATA[sareno: Nedostupno | Veličina 24, zelena]]><![CDATA[sareno: Dostupno | Veličina 25, zelena]]><![CDATA[sareno: Dostupno | Veličina 26, zelena]]><![CDATA[sareno: Nedostupno | Veličina 27, zelena]]><![CDATA[sareno: Nedostupno | Veličina 28, zelena]]><![CDATA[sareno: Nedostupno | Veličina 29, zelena]]><![CDATA[sareno: Nedostupno | Veličina 30, zelena]]><![CDATA[sareno: Nedostupno | Veličina 31, zelena]]><![CDATA[sareno: Nedostupno | Veličina 32, zelena]]><![CDATA[sareno: Nedostupno | Veličina 33, zelena]]><![CDATA[sareno: Nedostupno | Veličina 34, zelena]]><![CDATA[sareno: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Sandale";"https://woolf.hr/sandale-minnie-mouse-proizvod-8630/"
"DISNEY SANDALE NEMO";"WLFP0140_BLUE";"DISNEY";"kom";"4,99";"4,99";"DA";"Akcija";"4,99";"Nije dodijeljen";"Dostupno";"Veličina 23, narancasta]]><![CDATA[plava: Nedostupno | Veličina 24, narancasta]]><![CDATA[plava: Nedostupno | Veličina 25, narancasta]]><![CDATA[plava: Nedostupno | Veličina 26, narancasta]]><![CDATA[plava: Nedostupno | Veličina 27, narancasta]]><![CDATA[plava: Nedostupno | Veličina 28, narancasta]]><![CDATA[plava: Dostupno | Veličina 29, narancasta]]><![CDATA[plava: Nedostupno | Veličina 30, narancasta]]><![CDATA[plava: Nedostupno";"Nije dodijeljen";"Dječje - Obuća - Sandale";"https://woolf.hr/sandale-nemo-proizvod-9685/"
"Dr. Jack ANATOMSKE PAPUČE";"JPF370_1GREY";"Dr. Jack";"kom";"16,99";"16,99";"DA";"Akcija";"16,99";"Nije dodijeljen";"Dostupno";"Veličina 36, siva: Dostupno | Veličina 37, siva: Nedostupno | Veličina 38, siva: Dostupno | Veličina 39, siva: Dostupno | Veličina 40, siva: Nedostupno | Veličina 41, siva: Nedostupno | Veličina 42, siva: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Papuče";"https://woolf.hr/anatomske-papuce-proizvod-11873/"
"Dr. Jack ANATOMSKE PAPUČE";"JPF370_BLACK";"Dr. Jack";"kom";"16,99";"16,99";"DA";"Akcija";"16,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Nedostupno | Veličina 37, crna: Dostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Nedostupno | Veličina 42, crna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Papuče";"https://woolf.hr/anatomske-papuce-proizvod-11871/"
"Dr. Jack ANATOMSKE PAPUČE";"JPF370_GREEN";"Dr. Jack";"kom";"16,99";"16,99";"DA";"Akcija";"16,99";"Nije dodijeljen";"Dostupno";"Veličina 36, zelena: Nedostupno | Veličina 37, zelena: Dostupno | Veličina 38, zelena: Dostupno | Veličina 39, zelena: Nedostupno | Veličina 40, zelena: Dostupno | Veličina 41, zelena: Dostupno | Veličina 42, zelena: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Papuče";"https://woolf.hr/anatomske-papuce-proizvod-11878/"
"Dr. Jack ANATOMSKE PAPUČE";"JPF370_GREY";"Dr. Jack";"kom";"16,99";"16,99";"DA";"Akcija";"16,99";"Nije dodijeljen";"Dostupno";"Veličina 36, siva: Dostupno | Veličina 37, siva: Dostupno | Veličina 38, siva: Nedostupno | Veličina 39, siva: Nedostupno | Veličina 40, siva: Dostupno | Veličina 41, siva: Dostupno | Veličina 42, siva: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Papuče";"https://woolf.hr/anatomske-papuce-proizvod-11872/"
"Dr. Jack ANATOMSKE PAPUČE";"JPF370_PINK";"Dr. Jack";"kom";"16,99";"16,99";"DA";"Akcija";"16,99";"Nije dodijeljen";"Dostupno";"Veličina 36, pink: Dostupno | Veličina 37, pink: Dostupno | Veličina 38, pink: Dostupno | Veličina 39, pink: Dostupno | Veličina 40, pink: Dostupno | Veličina 41, pink: Dostupno | Veličina 42, pink: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Papuče";"https://woolf.hr/anatomske-papuce-proizvod-11877/"
"Dr. Jack ANATOMSKE PAPUČE";"JPF370_PURPLE";"Dr. Jack";"kom";"16,99";"16,99";"DA";"Akcija";"16,99";"Nije dodijeljen";"Dostupno";"Veličina 36, ljubicasta: Dostupno | Veličina 37, ljubicasta: Nedostupno | Veličina 38, ljubicasta: Nedostupno | Veličina 39, ljubicasta: Dostupno | Veličina 40, ljubicasta: Dostupno | Veličina 41, ljubicasta: Dostupno | Veličina 42, ljubicasta: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Papuče";"https://woolf.hr/anatomske-papuce-proizvod-11874/"
"Dr. Jack ANATOMSKE PAPUČE";"JPF370_RED";"Dr. Jack";"kom";"16,99";"16,99";"DA";"Akcija";"16,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crvena: Dostupno | Veličina 37, crvena: Dostupno | Veličina 38, crvena: Dostupno | Veličina 39, crvena: Dostupno | Veličina 40, crvena: Dostupno | Veličina 41, crvena: Dostupno | Veličina 42, crvena: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Papuče";"https://woolf.hr/anatomske-papuce-proizvod-11876/"
"Dr. Jack ANATOMSKE PAPUČE";"JPF370_YELLOW";"Dr. Jack";"kom";"16,99";"16,99";"DA";"Akcija";"16,99";"Nije dodijeljen";"Dostupno";"Veličina 36, zuta: Dostupno | Veličina 37, zuta: Dostupno | Veličina 38, zuta: Dostupno | Veličina 39, zuta: Dostupno | Veličina 40, zuta: Dostupno | Veličina 41, zuta: Dostupno | Veličina 42, zuta: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Papuče";"https://woolf.hr/anatomske-papuce-proizvod-11875/"
